Title,Artist,Key,Tempo,Genre,Album,Grouping,Date Added,Location,Comment,Year,Overall Volume,Energy,CuePoints,ClippedPeaks
"Quincy (Original Mix)","Deep Dish","9A",126.0,"Progressive House, Deep House, Tech House, Electro House, Indie Dance / Nu Disco","Beatport Top 100 March 2014","",1/13/2024,"C:\iTunes\Music\Various Artists\Beatport Top 100 March 2014\30 Quincy (Original Mix).mp3","9A - 6",2014,-11.0 dB,6,8,3964
"Ben Mono feat Killa Kella - Blind Sweep (Mehdi)","Unknown Artist","7A",130.5,"Electronica &Amp","Mixmag Ed Banger Menage-a-trois","",1/13/2024,"C:\iTunes\Music\Unknown Artist\Mixmag Ed Banger Menage-a-trois\02 Ben Mono feat Killa Kella - Blind Sweep (Mehdi).mp3","7A - 7",,-10.7 dB,7,8,495
"Award Tour","03. A Tribe Called Quest","6A",97.1,"","","",6/29/2023,"C:\iTunes\Music\03. A Tribe Called Quest\Unknown Album\Award Tour.mp3","6A - 6",,-11.8 dB,6,6,323
"Technicolour (featuring D'Morgan)","Andy Hunter","6A",128.0,"Electronica/Dance","Colour","",6/29/2023,"C:\iTunes\Music\Andy Hunter\Colour\07 Technicolour (featuring D'Morgan).mp3","6A - 7",2008,-12.3 dB,7,7,65
"Pull It Out","Black Nevis","4A",130.0,"","Volume 4","",1/13/2024,"C:\iTunes\Music\Dred Collective\Volume 4\11 Pull It Out.mp3","4A - 6 - Visit http://dredcollective.bandcamp.com",2017,-7.4 dB,6,6,382
"Tom-808-Mid","","5A",157.6,"","","",6/29/2023,"D:\Breakfast Beats\Bobby Capo Beat\Bobby Capo Project\Samples\Imported\Tom-808-Mid.aif","5A - 0",,-14.7 dB,0,0,1
"Dream A Little Dream Of Me","Michael Bublé","3A",138.0,"Jazz","The Michael Bublé Collection","",1/13/2024,"C:\iTunes\Music\Michael Bublé\The Michael Bublé Collection\5-03 Dream A Little Dream Of Me.mp3","3A - 3",2011,-15.0 dB,3,7,0
"Lament (ft. Plusma)","Philanthrope","3A",82.0,"","Chillhop Raw Cuts","",1/13/2024,"C:\iTunes\Music\Chillhop Records\Chillhop Raw Cuts\04 Lament (ft. Plusma).mp3","3A - 4 - Visit http://chillhop.bandcamp.com",2017,-12.5 dB,4,8,343
"Le Coeuer Qui Jazz","France Gall","8B",132.5,"Pop/Easy Listening","Dancefloor Jazz, Volume 9: Never Felt So Free","",1/13/2024,"C:\iTunes\Music\France Gall\Dancefloor Jazz, Volume 9_ Never Felt So Free\09 Le Coeuer Qui Jazz.mp3","8B - 5",2000,-16.7 dB,5,8,0
"Feels So Real","Patrice Rushen","8A",103.9,"Hip-Hop/Rap","Now","",9/8/2021,"C:\Users\louis.media\Music\Disco\Feels So Real Patrice Rushen.mp3","8A - 5",2007,-30.6 dB,5,8,0
"Laughing Stock","Grandaddy","8A",104.0,"Alt. Rock","Under the Western Freeway","",1/13/2024,"C:\Users\louis.media\Documents\Soulseek Downloads\complete\Stalaktite\{1997} Under the Western Freeway [16-44.1]\Grandaddy - 05 - Laughing Stock.flac","8A - 6 - 63881-27030-2",1997,-13.4 dB,6,8,0
"Everyone Falls In Love Sometimes Tanto Metro and Devonte","","3A",96.0,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\Everyone Falls In Love Sometimes Tanto Metro and Devonte.mp3","3A - 6",,-14.8 dB,6,8,1049
"Dancing with strangers (original mix)","Rossell ft. Emma","4A",124.0,"","","",1/13/2024,"C:\iTunes\Music\Rossell ft. Emma\Unknown Album\Dancing with strangers (original mix).mp3","4A - 6",2007,-9.1 dB,6,8,7031
"Walk-Don't Run '64","The Ventures","8A",153.9,"Instrumental Rock","Walk-Don't Run: The Best Of The Ventures","",1/13/2024,"C:\iTunes\Music\The Ventures\Walk-Don't Run_ The Best Of The Ventures\17 Walk-Don't Run '64.mp3","8A - 6",1990,-22.6 dB,6,5,0
"Big Feelings","Shlohmo","10B",118.7,"Experimental","Bad Vibes","",1/13/2024,"C:\iTunes\Music\Shlohmo\Bad Vibes\01 Big Feelings.mp3","10B - 3",2011,-14.9 dB,3,8,0
"Amarcord","Duoteque","4A",126.0,"House","Duoteque Compiled by Dusty Kid (incl Bonus CD)","",1/13/2024,"C:\iTunes\Music\Duoteque\Duoteque Compiled by Dusty Kid (incl Bonus CD)\06 Amarcord.mp3","4A - 6",2010,-13.5 dB,6,8,1
"Check In","Lecrae","11A",156.0,"Hip Hop/Rap","Rehab","",1/13/2024,"C:\iTunes\Music\Lecrae\Rehab\01 Check In.m4a","11A - 7",2010,-10.3 dB,7,8,178
"It Came Upon A Midnight Clear","Bing Crosby & Rosemary Clooney","5B",121.7,"Other Holiday","Merry Christmas","",1/13/2024,"C:\iTunes\Music\Various Artists\Merry Christmas\09 It Came Upon A Midnight Clear.mp3","5B - 4",2003,-19.7 dB,4,6,0
"I See the Lord","116 Clique","2A",84.5,"","The Compilation Album","",6/29/2023,"C:\iTunes\Music\116 Clique\The Compilation Album\I See the Lord.mp3","2A - 4",,-12.7 dB,4,8,142
"Bugg'n","TNGHT","4A",140.0,"Electronic","TNGHT ","",1/13/2024,"C:\iTunes\Music\TNGHT\TNGHT\04 Bugg'n.mp3","4A - 7",2012,-11.4 dB,7,8,0
"Le Hablé a Mi Dios","Holocausto","8A",104.8,"Other","Aleluya","",1/13/2024,"C:\iTunes\Music\Holocausto\Aleluya\02 Le Hablé a Mi Dios.mp3","8A - 5",1974,-17.1 dB,5,8,0
"Hazy...","oddfish","9B",150.0,"","Chillhop Essentials - Spring 2019","",1/13/2024,"C:\iTunes\Music\Chillhop Records\Chillhop Essentials - Spring 2019\07 Hazy....mp3","9B - 4 - Visit http://chillhop.bandcamp.com",2019,-15.8 dB,4,8,30
"De Gantoise","De Buffalo's","6B",125.0,"Other","As Heard On Radio Soulwax Pt.11","",1/13/2024,"C:\iTunes\Music\De Buffalo's\As Heard On Radio Soulwax Pt.11\04 De Gantoise.mp3","6B - 7",2007,-11.6 dB,7,5,58
"Knight Moves","Chilly Gonzales","6A",116.0,"Alternative","Ivory Tower","",1/13/2024,"C:\iTunes\Music\Chilly Gonzales\Ivory Tower\01 Knight Moves.mp3","6A - 6",2010,-11.6 dB,6,8,4102
"Kool & the Gang - Too hot","Kool & the Gang","5A",104.1,"","","",6/29/2023,"C:\iTunes\Music\06\Unknown Album\Kool & the Gang - Too hot.mp3","5A - 6",,-16.8 dB,6,8,0
"Sweet Sixteen","BB King","3B",128.7,"","Live At Cook County Jail","",6/29/2023,"C:\iTunes\Music\BB King\Live At Cook County Jail\Sweet Sixteen.mp3","3B - 4",,-15.6 dB,4,3,0
"Shapes Of Things","The Yardbirds","7A",134.6,"Rock","The Very Best Of The Yardbirds","",1/13/2024,"C:\iTunes\Music\The Yardbirds\The Very Best Of The Yardbirds\17 Shapes Of Things.mp3","7A - 4",2005,-21.3 dB,4,8,0
"Ode to Elmhurst v8","","7A",94.1,"","","",6/29/2023,"D:\Breakfast Beats\Ode to Elmhurst Project\Ode to Elmhurst v8.mp3","7A - 7",,-10.2 dB,7,1,1
"Bram Stoker's Dracula - Wojciech Kilar - Vampire Hunters","Cinema Themes and Music","8A",120.8,"Soundtrack","Cinema Themes and Music","",1/13/2024,"C:\iTunes\Music\Cinema Themes and Music\Cinema Themes and Music\Bram Stoker's Dracula - Wojciech Kilar - Vampire Hunters.mp3","8A - 2",1992,-21.0 dB,2,8,0
"The Beach","New Order","7A",130.4,"Electronica","Substance","",6/13/2021,"C:\iTunes\Music\New Order\Substance\04 The Beach.mp3","7A - 7",1983,-13.6 dB,7,8,0
"Ode to Elmhurst v10","","7B",94.1,"","","",6/29/2023,"D:\Breakfast Beats\Ode to Elmhurst Project\Ode to Elmhurst v10.wav","7B - 6",,-10.6 dB,6,1,0
"10. dj neutron - on the dancefloor","2 Many DJ's","9A",124.0,"Dance","As Heard On Radio Soulwax - Part 7","",6/29/2023,"C:\iTunes\Music\2 Many DJ's\As Heard On Radio Soulwax - Part 7\10. dj neutron - on the dancefloor.mp3","9A - 6",,-16.0 dB,6,3,0
"abc","80's collection vol.1","7B",124.8,"Oldies","80's collection vol.1","",6/29/2023,"C:\iTunes\Music\80's collection vol.1\80's collection vol.1\02 abc.mp3","7B - 8",1980,-17.0 dB,8,8,0
"Basketball Freestyle Beat","Nike Commercial","3A",130.0,"Drum Solo","","",1/13/2024,"C:\iTunes\Music\Nike Commercial\Unknown Album\Basketball Freestyle Beat.mp3","3A - 6",,-15.2 dB,6,7,1154
"Firewater","Django Django","9A",141.9,"Indie","Django Django","",1/13/2024,"C:\iTunes\Music\Django Django\Django Django\04 Firewater.mp3","9A - 6",2012,-11.3 dB,6,8,3733
"Instrumentals-24 Eminem - If I Get Locked Up Tonight (instrumental)","Eminem","3A",82.1,"Blues","","",1/13/2024,"C:\iTunes\Music\Eminem\Unknown Album\Instrumentals-24 Eminem - If I Get Locked Up Tonight (instrumental).mp3","3A - 4",,-14.0 dB,4,3,248
"Respira (te quiero)","Radical One","9A",129.6,"","","",6/30/2023,"C:\Users\louis.media\Music\Radical One Full Collection\Radical One - Respira (te quiero).mp3","9A - 6 - Visit http://radicalone.bandcamp.com",2019,-14.6 dB,6,8,450
"A Hundred","Oh No","6A",91.0,"","Dr. No's Ethiopium","",1/13/2024,"C:\iTunes\Music\Oh No\Dr. No's Ethiopium\25 A Hundred.mp3","6A - 5",,-10.7 dB,5,6,0
"03 Y Como Es El","Marc Anthony","8B",154.0,"Bolero","Iconos ","",1/13/2024,"C:\iTunes\Music\_(FlowActivo.Com) (FlowActivo.Com)\Iconos\03 Y Como Es El.mp3","8B - 5",2010,-12.5 dB,5,4,269
"Orange Romeda","Boards Of Canada","6A",106.0,"Electronica","We Are Reasonable People","",1/13/2024,"C:\iTunes\Music\Various Artists\We Are Reasonable People\02 Orange Romeda.mp3","6A - 6",1998,-15.4 dB,6,8,127
"Compass","Dave Clarke","12A",136.0,"Other","As Heard On Radio Soulwax Pt.11","",1/13/2024,"C:\iTunes\Music\Dave Clarke\As Heard On Radio Soulwax Pt.11\21 Compass.mp3","12A - 6",2007,-10.2 dB,6,6,312
"Only God Forgives","Cliff Martinez & Gregory Tripi","4A",122.5,"Soundtrack","Only God Forgives","",1/13/2024,"C:\iTunes\Music\Compilations\Only God Forgives\01 Only God Forgives.mp3","4A - 2",2013,-14.4 dB,2,5,61
"G Note b7","Moldover","9A",152.0,"Guitar","","",1/13/2024,"C:\iTunes\Music\Unknown Artist\Unknown Album\G Note b7.wav","9A - 2",,-26.4 dB,2,1,0
"C6","Native Instruments","5A",128.0,"","","",1/13/2024,"C:\iTunes\Music\Unknown Artist\Unknown Album\C6.wav","5A - 3",,-19.0 dB,3,1,0
"Drinking from the Bottle (feat. Tinie Tempah)","Calvin Harris","8A",128.0,"Pop","Now That's What I Call Music! 84","",1/13/2024,"C:\iTunes\Music\Various Artists\Now That's What I Call Music! 84\2-04 Drinking from the Bottle (feat. Tinie Tempah).mp3","8A - 8",2013,-9.8 dB,8,8,11517
"Wanna Dance With Somebody","jpeg.love, Sketchy, Moodrich","6A",145.0,"","Ghettolympics Vol. 1","",1/13/2024,"C:\Users\louis.media\Downloads\jpeg.love, Sketchy, Moodrich - Ghettolympics Vol. 1 - 20 Wanna Dance With Somebody.mp3","6A - 6 - Visit http://paceplayazsociety.bandcamp.com",2020,-11.3 dB,6,8,0
"Happy March","NFL Films Music","9B",153.3,"Soundtrack","Autumn Thunder CD#3","",1/13/2024,"C:\iTunes\Music\NFL Films Music\Autumn Thunder CD#3\10 Happy March.mp3","9B - 7",,-12.9 dB,7,8,89
"Mickey's Monkey(acapella)","Smokey Robinson and The Miracles","8A",140.6,"Blues","","",1/13/2024,"C:\iTunes\Music\Smokey Robinson and The Miracles\Unknown Album\Mickey's Monkey(acapella).mp3","8A - 4",,-22.2 dB,4,5,0
"Repent","Ray Rock","9B",83.5,"Instrumental","Lordz Knights","",1/13/2024,"C:\iTunes\Music\Ray Rock\Lordz Knights\Repent.mp3","9B - 4                              ",2005,-21.9 dB,4,6,0
"Koran Angel","Lone","5A",125.0,"IDM, Downtempo","Lemurian","",1/13/2024,"C:\iTunes\Music\Lone\Lemurian\01 Koran Angel.mp3","5A - 3",2008,-20.9 dB,3,8,4
"Harder, Better, Faster, Stronger (Jess & Crabbe Remix)","Daft Punk","11A",129.2,"House","Daft Club","",1/13/2024,"C:\iTunes\Music\Daft Punk\Daft Club\07 Harder, Better, Faster, Stronger (Jess & Crabbe Remix).mp3","11A - 7",2003,-12.1 dB,7,8,4305
"Let It Be","The Beatles","8B",145.5,"Pop/Rock","Past Masters, Volume One","",1/13/2024,"C:\iTunes\Music\The Beatles\Past Masters, Volume One\26 Let It Be.mp3","8B - 4",1970,-15.8 dB,4,4,0
"Beauty Brain - Veneno (Tropkillaz Remix)","Beauty Brain","2A",105.0,"","Veneno","",1/13/2024,"C:\iTunes\Music\Beauty Brain\Veneno\Beauty Brain - Veneno (Tropkillaz Remix).mp3","2A - 7",2014,-7.0 dB,7,8,18698
"The Legend Of Zelda","Zedd","3A",128.0,"Electro House","The Legend Of Zelda","",1/13/2024,"C:\iTunes\Music\Zedd\The Legend Of Zelda\01 The Legend Of Zelda.mp3","3A - 8",2011,-8.4 dB,8,8,59541
"Basement Jaxx / Head-A-Pella","2 Many DJ's","2B",128.9,"","As Heard On Radio Soulwax Pt. 8","",6/29/2023,"C:\iTunes\Music\2 Many DJ's\As Heard On Radio Soulwax Pt. 8\31 Basement Jaxx _ Head-A-Pella.mp3","2B - 7",,-10.9 dB,7,3,0
"El Cargo","Amon Tobin","1A",85.0,"Electronica","Splinter Cell Chaos Theory Sou","",6/29/2023,"C:\iTunes\Music\Amon Tobin\Splinter Cell Chaos Theory Sou\05 El Cargo.mp3","1A - 5",2005,-11.5 dB,5,8,676
"Polygon Window","Polygon Window","8A",133.7,"Electronica","Surfing on Sine Waves","",1/13/2024,"C:\iTunes\Music\Polygon Window\Surfing on Sine Waves\01 Polygon Window.mp3","8A - 6",1993,-18.1 dB,6,8,0
"Bonita Applebum","A Tribe Called Quest","10A",91.9,"Rap","Peoples Instinctive Travels And The Paths Of Rhythm  ","",6/29/2023,"C:\iTunes\Music\A Tribe Called Quest\Peoples Instinctive Travels And The Paths Of Rhythm\07 Bonita Applebum.mp3","10A - 5",1990,-12.1 dB,5,8,1931
"Concertina Turner","Luke Vibert","3A",93.0,"Electronic/IDM","Rhythm","",1/13/2024,"C:\iTunes\Music\Luke Vibert\Rhythm\09 Concertina Turner.mp3","3A - 5",2008,-13.1 dB,5,8,319
"Soma","deadmau5","11A",128.0,"Other","For Lack Of A Better Name (The Extended Mixes)","",1/13/2024,"C:\iTunes\Music\Deadmau5\For Lack Of A Better Name (The Extended Mixes)\07 Soma.mp3","11A - 5",2009,-9.8 dB,5,4,4856
"Sweet Home Country Grammer (ft Nelly & Lynyrd Skynyrd)","Mash Up","10B",97.0,"","","",1/13/2024,"C:\iTunes\Music\Mash Up\Unknown Album\Sweet Home Country Grammer (ft Nelly & Lynyrd Skynyrd).mp3","10B - 6",,-13.1 dB,6,6,487
"Rasputin (Original Mix)","Hard Rock Sofa","4A",128.0,"","Beatport Top 100 April 2013","",1/13/2024,"C:\iTunes\Music\Hard Rock Sofa\Beatport Top 100 April 2013\50 Rasputin (Original Mix).mp3","4A - 8",2013,-8.6 dB,8,8,43570
"Babylon","Congorock feat Mr Lexx","7A",127.6,"Blues","Maximum Bass Ultimate","",1/13/2024,"C:\iTunes\Music\Congorock feat Mr Lexx\Maximum Bass Ultimate\Babylon.mp3","7A - 9",,-10.6 dB,9,8,134
"Hot Like Fire","The XX","5A",129.8,"Indie","XX","",1/13/2024,"C:\iTunes\Music\XX, The\XX\2-03 Hot Like Fire.mp3","5A - 2",2009,-15.8 dB,2,7,0
"Across The Universe","The Beatles","3B",150.6,"Pop/Rock","Let It Be","",1/13/2024,"C:\iTunes\Music\The Beatles\Let It Be\03 Across The Universe.mp3","3B - 4",1970,-16.7 dB,4,3,0
"Frau (Kid Alex Minimal to Disco Mix)","I-Robots","9A",127.0,"","Oi Oi Oi Remixed","",1/13/2024,"C:\iTunes\Music\I-Robots\Oi Oi Oi Remixed\09 Frau (Kid Alex Minimal to Disco Mix).mp3","9A - 6",2008,-10.2 dB,6,8,3793
"Jeffer","Boys Noize","9A",126.0,"Electronic","Power","http://www.diary.ru/~Electrocircle/",1/13/2024,"C:\iTunes\Music\Boys Noize\Power\04 Jeffer.mp3","9A - 8",2009,-11.2 dB,8,7,409
"Intro","Wagon Christ","7A",115.1,"Electronica","Throbbing Pouch","",1/13/2024,"C:\iTunes\Music\Wagon Christ\Throbbing Pouch\01 Intro.mp3","7A - 4 - All",1995,-23.3 dB,4,1,0
"Sunlight","Modestep","8A",140.0,"","","",1/13/2024,"C:\iTunes\Music\Modestep\Unknown Album\Sunlight.mp3","8A - 8",,-10.3 dB,8,8,1293
"Evil Minds","The Third Twin","9A",120.0,"Other","Homemade","",1/13/2024,"C:\iTunes\Music\The Third Twin\Homemade\01 Evil Minds.mp3","9A - 6",,-12.9 dB,6,8,1620
"B3 Glassy HatClap","Native Instruments","10A",130.0,"Electro House","","",1/13/2024,"C:\iTunes\Music\Unknown Artist\Unknown Album\B3-Complextro130.wav","10A - 4",,-16.1 dB,4,1,0
"I Love Rock and Roll","Joan Jett","12B",96.3,"Other","","",1/13/2024,"C:\iTunes\Music\Joan Jett\Unknown Album\I Love Rock and Roll.mp3","12B - 4",,-17.8 dB,4,7,0
"My City - Ephesians (Flame)","116 Clique","9A",89.0,"Pop","Thirteen Letters","",6/29/2023,"C:\iTunes\Music\Compilations\Thirteen Letters\07 My City - Ephesians (Flame).m4a","9A - 6",2007,-14.0 dB,6,4,78
"One More Time vs Aerodynamic","Daft Punk","10A",124.0,"House","2006-06-30: Eurockéennes, Belfort, France","",5/27/2022,"C:\iTunes\Music\Daft Punk\2006-06-30_ Eurockéennes, Belfort, France\08 One More Time vs Aerodynamic.MP3","10A - 8",2006,-12.4 dB,8,8,61
"The Killer's Vanilla","Amon Tobin","6A",130.0,"Electronica","Foley Room","",6/29/2023,"C:\iTunes\Music\Amon Tobin\Foley Room\04 The Killer's Vanilla.mp3","6A - 5",2007,-12.3 dB,5,8,200
"Stormy by J.R. Cobb/B. Buie","Madlib","10A",108.4,"Hip Hop/Rap","Shades Of Blue","",1/13/2024,"C:\iTunes\Music\Madlib\Shades Of Blue\05 Stormy by J.R. Cobb_B. Buie.mp3","10A - 4",2003,-14.3 dB,4,4,0
"RK4_Ramon_Tapia_Fx_001","Florian Meindl","5A",127.9,"Tech House","","",1/13/2024,"C:\iTunes\Music\Unknown Artist\Unknown Album\RK4_Ramon_Tapia_Fx_001.wav","5A - 3",,-22.3 dB,3,1,0
"Shouts (Alt)","Jay Dee","5A",97.3,"Hip Hop/Rap","Ruff Draft","",1/13/2024,"C:\iTunes\Music\Jay Dee\Ruff Draft\14 Shouts (Alt).mp3","5A - 4",2007,-12.6 dB,4,3,0
"Dillatronic 25","J Dilla","5A",93.2,"Hip-Hop","Dillatronic","",1/13/2024,"C:\iTunes\Music\J Dilla\Dillatronic\25 Dillatronic 25.mp3","5A - 4",2015,-13.5 dB,4,3,30
"Intro","Oneohtrix Point Never","4A",111.3,"Electronic","Garden of Delete","",1/13/2024,"C:\iTunes\Music\Oneohtrix Point Never\Garden of Delete\01 Intro.mp3","4A - 4 - By harpagomed",2015,-18.7 dB,4,1,20
"Troubleman","Electric Guest","4A",122.0,"Indie","Mondo","",1/13/2024,"C:\iTunes\Music\Electric Guest\Mondo\1-08 Troubleman.mp3","4A - 4 - Excellent",2012,-12.4 dB,4,4,819
"Bye Friend (Original Mix)","Deadmau5","12A",128.0,"Electronica & Dance","Mixed","",1/13/2024,"C:\iTunes\Music\Deadmau5\Mixed\01 Bye Friend (Original Mix).mp3","12A - 6",,-9.5 dB,6,6,2641
"Stayin Alive (93rd Remix )","","11A",140.0,"","","",6/29/2023,"C:\Users\louis.media\Downloads\Stayin Alive (93rd Remix ).mp3","11A - 8",,-9.3 dB,8,8,1371
"Wrong Side of the Tracks","65daysofstatic","7A",83.1,"Post-Rock/Math-Rock","B-Sides & Rarities (Vol. Then We Take Japan)","",6/29/2023,"C:\iTunes\Music\65daysofstatic\B-Sides & Rarities (Vol. Then We Take Japan)\07 Wrong Side of the Tracks.mp3","7A - 6",2006,-8.7 dB,6,3,2486
"Girl On My Mind","Buddy Holly","8B",118.1,"Rock & Roll","Not Fade Away (The Complete Studio Recordings & More)","",1/13/2024,"C:\iTunes\Music\Buddy Holly\Not Fade Away (The Complete Studio Recordings & More)\2-04 Girl On My Mind.mp3","8B - 3",2009,-15.1 dB,3,8,0
"strike back","Tsutchie - fat jon","8A",97.0,"Other","Samurai Champloo: Playlist","",1/13/2024,"C:\iTunes\Music\Compilations\Samurai Champloo_ Playlist\03 strike back.mp3","8A - 6 - Track 3",2004,-19.3 dB,6,8,0
"Lack of a Better Name","Deadmau5","4A",128.0,"Progressive House","For Lack of a Better Name","For Lack of a Better Name",1/13/2024,"C:\iTunes\Music\Deadmau5\For Lack of a Better Name\08 Lack of a Better Name.mp3","4A - 5",2009,-14.5 dB,5,8,0
"Android Porn","Kraddy","4A",95.0,"Glitch Hop","Android Porn / Steppin' Razor","",1/13/2024,"C:\iTunes\Music\Kraddy\Android Porn _ Steppin' Razor\01 Android Porn.mp3","4A - 8",2008,-13.6 dB,8,8,0
"O Superman (Laurie Anderson)","Boys Noize","5A",127.4,"Electro","Bugged Out! Presents Suck My Deck Mixed By Boys Noize","",1/13/2024,"C:\iTunes\Music\Boys Noize\Bugged Out! Presents Suck My Deck Mixed By Boys Noize\19 O Superman (Laurie Anderson).mp3","5A - 5",2008,-11.7 dB,5,6,485
"The Leaves Are Brown","Hucci/Various Artists","12A",140.0,"Trap","Hucci","",1/13/2024,"C:\iTunes\Music\Hucci\Hucci\The Leaves Are Brown.mp3","12A - 6",2014,-10.6 dB,6,8,0
"OpenHH 909","Native Instruments","8A",157.7,"Sound Effects","","",1/13/2024,"C:\iTunes\Music\Unknown Artist\Unknown Album\OpenHH 909.wav","8A - 0",,-16.8 dB,0,0,0
"Strange Piano","Melvin Van Peebles/Quasimoto","11A",121.7,"Hip Hop","The Further Adventures of Lord Quas","",1/13/2024,"C:\iTunes\Music\Quasimoto\The Further Adventures of Lord Quas\21 Strange Piano.mp3","11A - 4",2005,-9.4 dB,4,6,11
"sing sing mono","","2A",130.4,"","","",6/29/2023,"D:\Breakfast Beats\Bobby Capo Beat\Bobby Capo Project\Samples\Imported\sing sing mono.wav","2A - 3",,-16.8 dB,3,0,0
"09_Sleeping Beauty-Once Upon A Dream","","7B",92.4,"","Disney Songs","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Disney Songs\09_Sleeping Beauty-Once Upon A Dream.mp3","7B - 2",,-16.9 dB,2,8,0
"Jingle Bells Hip-hop Instrumental Remix","","7B",91.0,"Blues","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\Jingle Bells Hip-hop Instrumental Remix.mp3","7B - 7",,-11.0 dB,7,8,661
"First Snow","Emancipator","12A",142.5,"Trip-Hop","Soon It Will Be Cold Enough","",1/13/2024,"C:\iTunes\Music\Emancipator\Soon It Will Be Cold Enough\1-03 First Snow.mp3","12A - 4",2006,-15.3 dB,4,3,0
"In Summer","Josh Gad","8A",107.1,"Soundtrack","Frozen (Original Motion Picture Soundtrack) [Deluxe Edition]","",1/13/2024,"C:\iTunes\Music\Compilations\Frozen (Original Motion Picture Soundtrack) [Deluxe Edition]\1-07 In Summer.m4a","8A - 4",2013,-16.7 dB,4,6,0
"Meltphace 6","Alarm Will Sound","11A",152.0,"Electronica","Acoustica: Alarm Will Sound Performs Aphex Twin","",6/29/2023,"C:\iTunes\Music\Alarm Will Sound\Acoustica_ Alarm Will Sound Performs Aphex Twin\03 Meltphace 6.mp3","11A - 5",2005,-11.6 dB,5,8,20237
"Le Sud","L'indécis","9A",93.0,"","Chillhop Essentials - Fall 2017","",1/13/2024,"C:\iTunes\Music\Chillhop Records\Chillhop Essentials - Fall 2017\05 Le Sud.mp3","9A - 3 - Visit http://chillhop.bandcamp.com",2017,-13.6 dB,3,8,0
"We're Ready","Boston","12B",133.2,"General Rock","Sounds Of The Eighties: 1987","",1/13/2024,"C:\iTunes\Music\Boston\Sounds Of The Eighties_ 1987\14 We're Ready.mp3","12B - 5",,-13.8 dB,5,8,10
"Lost City (Original Mix)","Tale Of Us","2A",124.0,"","Beatport Top 100 April 2013","",1/13/2024,"C:\iTunes\Music\Tale Of Us\Beatport Top 100 April 2013\73 Lost City (Original Mix).mp3","2A - 5",2013,-11.1 dB,5,8,261
"Analord","Luke Vibert","2A",115.5,"Electronic/IDM","'95 - '99","",1/13/2024,"C:\iTunes\Music\Luke Vibert\'95 - '99\04 Analord.mp3","2A - 6",2000,-12.2 dB,6,8,5802
"Cold Act Ill (Wolfgang Gartner Monster Mix)","Classixx","4A",128.0,"Electro House","Classixx EP","",1/13/2024,"C:\iTunes\Music\Classixx\Classixx EP\1-04 Cold Act Ill (Wolfgang Gartner Monster Mix).mp3","4A - 7",2008,-11.0 dB,7,8,953
"Bring The Noise","Public Enemy","3A",110.2,"Hip-Hop/Rap","It Takes A Nation Of Millions To Hold Us Back","",1/13/2024,"C:\iTunes\Music\Public Enemy\It Takes A Nation Of Millions To Hold Us Back\02 Bring The Noise.mp3","3A - 7",1988,-19.7 dB,7,8,0
"Church Medley","Donnie Mcclurkin","7B",137.3,"Gospel","VA - Wow Gospel 2007","",1/13/2024,"C:\iTunes\Music\Donnie Mcclurkin\VA - Wow Gospel 2007\12 Church Medley.mp3","7B - 4",2007,-11.0 dB,4,6,8445
"No Huddle Offense","Autumn Thunder","5B",80.0,"Soundtrack","40 Years Of NFL Films Music","",6/29/2023,"C:\iTunes\Music\Autumn Thunder\40 Years Of NFL Films Music\17 No Huddle Offense.mp3","5B - 5",2004,-15.5 dB,5,8,20
"I Will Survive","Gloria Gaynor","8A",116.3,"Pop","","",1/13/2024,"C:\iTunes\Music\Gloria Gaynor\Unknown Album\I Will Survive.mp3","8A - 6",,-18.0 dB,6,8,0
"Up Where We Belong","Joe Cocker & Jennifer Warnes","10B",138.7,"General Rock","Sounds Of The '80s: 1982","",1/13/2024,"C:\iTunes\Music\Joe Cocker & Jennifer Warnes\Sounds Of The '80s_ 1982\09 Up Where We Belong.mp3","10B - 4",,-20.2 dB,4,8,0
"Renegade Master","Justice","8A",131.4,"Electronica","Cool Cats","",1/13/2024,"C:\iTunes\Music\Justice\Cool Cats\1-10 Renegade Master.mp3","8A - 7",2009,-10.5 dB,7,8,1686
